,Delta_Fz,Delta_C3,Delta_Cz,Delta_C4,Delta_Pz,Delta_PO7,Delta_Oz,Delta_PO8,Theta_Fz,Theta_C3,Theta_Cz,Theta_C4,Theta_Pz,Theta_PO7,Theta_Oz,Theta_PO8,Alpha_Fz,Alpha_C3,Alpha_Cz,Alpha_C4,Alpha_Pz,Alpha_PO7,Alpha_Oz,Alpha_PO8,Beta_Fz,Beta_C3,Beta_Cz,Beta_C4,Beta_Pz,Beta_PO7,Beta_Oz,Beta_PO8,Gamma_Fz,Gamma_C3,Gamma_Cz,Gamma_C4,Gamma_Pz,Gamma_PO7,Gamma_Oz,Gamma_PO8,ID,Fase
0,0.05540594383311067,-0.08173080897217468,-0.763569863302989,0.2881600509777146,0.42331294589712487,-0.023103479282567847,0.18091827874047336,-0.19196039947439927,-0.4161046932992972,-0.544505703213226,0.23762475770120084,-0.2752766243770403,-0.0051460982807722405,-0.30059254191117224,-0.45797831266987893,-0.23179439471167834,12.89440372321157,13.912792419228774,9.876752273864836,18.61107868452762,38.02023833279578,15.306944580395355,29.93697081765825,62.90730904818652,0.3487423450261138,1.1319307599468422,1.0397056983663142,0.4950455628982446,1.0879456369348435,1.030669257809446,0.29004942619783725,0.0021804581625849253,-0.4030194647910814,-0.36169470702260526,-0.624594975049208,-0.41657953697487193,-0.6719196826963532,-0.38252550181847506,-0.32707793013062436,-0.18539970242159823,1,FS
1,-0.5551040582700313,-0.5394224330753368,-0.7104835090570015,-0.7760664069397325,-0.8396198671410682,-0.7948804701358441,-0.5729925637831398,-0.9180667664351889,0.3295628546429215,-0.027198327234503484,0.33840019518445474,0.5260957893534668,1.009101573159277,-0.11264109960816066,0.2695165839946093,-0.08258910319783755,7.7980068865955365,4.641339395450541,3.8902240216387347,7.516268332132059,2.912479653729201,2.114633686420353,5.204941156166615,13.681601293688683,0.5625617397659823,0.8635467235458377,0.8857961416117961,0.5337252500803784,0.885440088940408,1.1802863718922911,0.4546448918526053,2.13941719533548,-0.5098182357972882,-0.3291557652478001,-0.06544391895249244,0.3806241315308579,-0.35283056271832874,-0.21936052227432293,-0.12138814322453947,-0.1053156053585358,1,FS
2,-0.444988582241308,-0.1361622731987281,-0.8916764858054785,-0.1162795507528861,0.7339213822053685,-0.06641051320971447,1.161962169655952,-0.4262882404155238,0.7150272345029611,0.8252394029656228,1.2458590178648283,1.129465612918387,1.75610221818867,0.5526698702295881,1.9640426320307856,0.559706292551922,22.524970824885497,13.026379307382095,11.16407159275197,24.48428217932046,17.991640144928247,9.734313733367403,17.376532546321933,21.86374873159607,0.33952902139144714,0.13590278559988483,0.12579247516093256,0.7189016268835233,0.8785616398848632,0.34135411243481806,1.420082341957305,2.4514037466721317,-0.5574031913299865,-0.7361131583543811,-0.8122710531580577,-0.1417278274396995,-0.5125834520951814,-0.33723174412561774,-0.15541316701306468,0.20146995406259086,1,FS
3,0.10670727873349105,-0.7367846173052868,-0.4430679764095147,-0.4433552954870343,-0.35569137825345887,-0.5429251952452099,-0.8138001010492487,-0.7669481534497192,0.9905006177901323,1.026154098989881,-0.27548664982137144,2.1311253980445595,1.3750937901996059,1.7697640879027674,-0.6563277581348442,0.10084202519064392,13.20685615317511,11.832998665662066,9.28208162588059,7.151758035850913,13.393413288172972,8.068853289761408,2.6784741355740316,4.229282724227804,-0.4486210395379575,-0.0844996249703556,-0.3395753555531583,-0.41387590263096424,-0.1667772557367231,-0.11375934890638226,-0.48198595981605713,-0.2474231011552039,-0.4517150359525332,-0.6812004977391507,-0.5619712196790533,-0.21907803005740897,-0.4006064770965976,-0.47321999686396704,-0.6488168479240434,-0.7376102016626616,1,FS
4,-0.28995888171419415,-0.32470515517726395,-0.6592599810347337,-0.7816945846108563,-0.8104978454030765,-0.3490978296952303,-0.6430124687356356,-0.8500361434527622,-0.6002732475552174,0.28765011436616206,-0.6007379672253873,-0.28567541059117607,-0.18799724411090712,-0.012748967297177734,0.9149950738452864,-0.6794772539291385,1.2991454259231419,0.21523820716324274,0.04953081281588933,1.8579565494917072,0.32824484016897,0.771694513109564,-0.8504522609743829,-0.19771895841186593,0.1892367057511415,-0.2604245469904125,-0.15865926491713572,-0.16081128146190043,-0.3803674479731753,-0.438965502389003,0.7168920742160171,-0.48962540111693637,-0.3867274113433397,-0.27571340214727497,-0.46735917843365815,-0.3649634128339124,-0.12626350000379394,0.008336959341459308,-0.6535873390446079,-0.1340048688854511,1,FS
5,-0.016647256409033116,1.4408398030820606,-0.8091212547958859,0.3379494303995585,0.9735494834686492,1.921869532102483,0.12723012420741953,-0.5579656958334254,0.2333981336900671,-0.3662779825883422,0.08849334821351687,0.12093696241642345,-0.5136788349268956,-0.4679000590857224,-0.4455858728313234,-0.1789991660794224,0.5144365477693298,1.2674359452407513,-0.878428258216347,-0.39898818381403256,-0.37963943601735994,0.4562366932504048,-0.7551317392519771,-0.5362373891726929,-0.10191508279205751,-0.08167586749213326,-0.07699662795985625,-0.44656948369503735,0.022804282184894942,-0.007003366171486279,-0.45133218151839827,-0.43078009728118577,0.033718303197538387,0.02230278824407195,-0.15499107399552978,-0.15678558455509647,-0.01548538116190324,0.14798110470649947,-0.7156627685580297,-0.09552950509180594,1,FS
6,-0.9019332997600275,-0.1484615814139495,-0.5751516378507758,-0.6667529437208577,-0.8022807646415511,0.05341542189411822,-0.630491426729296,-0.8551130570008958,-0.7738180162505983,0.7445380245601788,-0.77997850330017,-0.696093614896955,-0.8432650047598728,0.30542021872438235,-0.7169181646974907,-0.9421516913356456,-0.3675896148460522,0.14603763978980905,-0.35646800018932195,-0.321327247394855,-0.20897564573854344,-0.09308671635023928,-0.859907922111185,-0.7994794869705116,-0.1288188224911759,0.11315327916138918,-0.36148556205671534,-0.16707957801785386,-0.18351413250090579,0.07227008059882546,-0.33213533927039646,-0.3095268432946388,1.0984089812802498,0.2100863904908194,-0.06641766991385648,1.4200286484846052,-0.07007307315828079,0.5946151104202437,0.1336547229269712,-0.2609662535426567,1,FS
7,-0.8251222775739288,0.2194661601708937,-0.7484071594259575,-0.058294661609769635,0.04633696301848175,0.8131262460147003,-0.3997161970409982,-0.7429099490241733,-0.5125143003987123,-0.44079234534976974,-0.2855911017108083,-0.44833352724773734,-0.7667037934794763,-0.36072446066555336,-0.4924759687017002,-0.7396738039532882,-0.5370671612429332,-0.3449783843360592,-0.6839984419097416,-0.741707727186065,-0.43903065366827104,-0.5834894180734721,-0.8385766657454015,-0.6124903255403701,0.014399155378132073,-0.35338652544233684,-0.38662162656422333,0.2586301355868858,-0.21216121343384609,-0.04809325021053743,-0.025220002667225978,0.269669568519468,0.0828506029563863,-0.255902860897986,-0.3536502455822384,-0.04001936118615896,0.014314162690944612,-0.05205966872488828,-0.32134238085733025,-0.568380839133755,1,FS
8,-0.8854489411319587,0.21618867749071474,-0.8207533256493945,-0.6544000402137792,-0.5552200929314282,-0.1275173574893409,9.882414081746834,-0.8043183710732633,-0.27440543838034087,0.206292309226299,-0.6168097018291951,-0.5332084476138333,-0.5394692380130006,0.27984074224048266,1.4341789572390267,-0.3354497095264201,-0.6563185852665031,0.3002021044198352,-0.8131729791197203,-0.6391200088734065,0.035919286079532306,0.10258447210531094,-0.17926137601191888,-0.71782558895757,-0.055052474112488155,-0.3043883087574445,-0.42852949433900184,-0.3861762897553033,-0.4811316237887542,-0.3293200136612053,-0.4836439854650727,-0.20302947277780606,1.709041812043213,1.6907238504466366,1.545738085956302,2.5817834770944756,2.047754914189135,1.7856865639209827,1.3859294815276968,1.1993181500357266,1,FS
9,-0.2219661309971894,-0.5910810557070973,-0.7073780816896729,-0.7126347827997603,-0.43714955756806656,-0.5649804311694365,-0.3959990656434436,-0.6362726473546028,-0.3829251537126711,1.1856520666786878,-0.5471284818828032,0.6262453429953942,0.013298549026320687,0.8566847515120415,2.63258230443521,0.3812933100557247,-0.730695711088795,-0.7642010021704612,-0.6752897364436149,-0.8964315625858577,-0.6068197264329638,-0.7123096750751466,-0.41892099413020495,-0.5960224894776979,-0.25651418048780916,-0.43063954228547513,-0.38898379758187107,-0.1839296608179647,-0.41910417612229217,-0.4170040601200161,-0.2374487664104124,-0.34782901368390995,0.26343013009973915,-0.3572417550962463,-0.6571814665456343,0.18956594074977018,-0.15611654602812425,0.15200116493803437,-0.38186832862650966,-0.4426309330167514,1,FS
