Delta_Fz,Delta_C3,Delta_Cz,Delta_C4,Delta_Pz,Delta_PO7,Delta_Oz,Delta_PO8,Theta_Fz,Theta_C3,Theta_Cz,Theta_C4,Theta_Pz,Theta_PO7,Theta_Oz,Theta_PO8,Alpha_Fz,Alpha_C3,Alpha_Cz,Alpha_C4,Alpha_Pz,Alpha_PO7,Alpha_Oz,Alpha_PO8,Beta_Fz,Beta_C3,Beta_Cz,Beta_C4,Beta_Pz,Beta_PO7,Beta_Oz,Beta_PO8,Gamma_Fz,Gamma_C3,Gamma_Cz,Gamma_C4,Gamma_Pz,Gamma_PO7,Gamma_Oz,Gamma_PO8,ID,Condicion,ELO,Aciertos,ELO_Cat,Aciertos_Cat
-0.7426188744341153,-0.33742896165863046,-0.7218322199406639,-0.45965366920620826,-0.12449818843466112,-0.31522638575597944,-0.3930063549623035,-0.7432030896731887,-0.33669747283047513,-0.07344114057721048,-0.3833218332270422,-0.05998239913815844,-0.11235623485631373,-0.16140198492761962,-0.03589185276561214,-0.40314071931537665,-0.49388024200538927,-0.3936594590621584,-0.5809001875002013,-0.58500358177962,-0.258586806848311,-0.4582324231673831,-0.6167167572111356,-0.5312530814766331,0.0033602711832593744,-0.04139487445867636,-0.2778364321285634,-0.10882707513021045,-0.06968489086619796,-0.0888907481839318,-0.07906557161115957,-0.20009396444661204,0.10621504460005289,-0.09290745948333418,-0.20028091591828673,0.07380152855400746,-0.07342329230030706,-0.03999032153037892,-0.20965285867719605,-0.1939196327331488,1,Ambiental,1400.0,1,Bueno,Malo
-0.41546593865924397,-0.7773734013838386,-0.7030091461851906,-0.4371943103634173,-0.8967255305157498,-0.2483564121339515,0.0066743423637379735,-0.3210175081801507,0.3242646138792569,-0.4160707489268174,0.057691791952368454,-0.15071472562263705,-0.7000136071544942,0.3813500840550047,0.3206731338939377,0.19456392712401174,-0.3387324351163946,-0.4836668666803986,-0.20729506546931734,-0.8636134737378816,-0.3631821231233231,-0.4153700871307724,-0.40471770250645506,-0.3961926005228147,-0.09653607642453901,-0.0034516993978750236,-0.10038163753737335,-0.4492409922930618,0.01995458231838399,0.05826793022506314,0.10274960852462421,-0.16164534402232328,-0.24614238831885218,-0.09327319348589108,-0.19899300067904022,-0.4346771395128253,0.13715880870833547,-0.015015539835963109,-0.042835346372752665,-0.2111794841036141,2,Ambiental,1200.0,3,Bueno,Bueno
-0.8818725026372495,-0.8818522497730883,-0.6345664594230096,-0.8500032482349034,-0.8851184611825135,-0.898274652259764,-0.9027009997833488,-0.8928593573447332,-0.8645787826155901,-0.8605173519681134,-0.855795078044659,-0.8396348958099461,-0.8928359359322512,-0.8498021547157334,-0.9149084875856446,-0.9088973880030505,-0.9402359138793526,-0.9432452877468895,-0.9259839118001623,-0.9369616013392672,-0.9514918370714345,-0.9650687486993632,-0.9532611276720869,-0.9459298289518243,-0.9357659450864022,-0.9417127788300118,-0.9104029746148959,-0.8976642973687137,-0.9243641272468315,-0.9360082606684048,-0.9431517742088504,-0.9400530382711856,-0.946646406427062,-0.9438729229689459,-0.7499468924886501,-0.8538318143530848,-0.9189178041677266,-0.9401671005443561,-0.949823630762938,-0.9467773754269478,3,Ambiental,800.0,0,Malo,Malo
-0.40839827801979156,1.2748003922668372,-0.5470322585767621,0.9234051036540569,-0.4303698880815173,0.13907735208041813,-0.2102760321889932,-0.016551200944482286,-0.03231421642026105,-0.5195768776792908,-0.4781398385835497,-0.5788317138801753,-0.4858442817870079,-0.1391550913434155,0.35005028474380845,0.010601196181553973,-0.22387879181147977,-0.7609530932736998,-0.018652685060967907,-0.7221525785130973,-0.22923425917073906,-0.4596134795935636,-0.5682285112165573,-0.55453037715506,-0.3155212681226588,-0.8725999971878483,-0.24529997672066553,-0.7370430103782982,-0.3002839667421779,-0.5117082879597019,-0.409550671799193,-0.3435955992147558,-0.25665686270695587,-0.8737411057504124,-0.18158789622323235,-0.7012748361087893,-0.36292720383812727,-0.43303052527673597,-0.47595038819735896,-0.37819102102644536,4,Ambiental,1100.0,1,Malo,Malo
-0.19074911023016938,-0.4006313029475969,-0.1514175484989616,-0.18738502943577134,-0.41490917031421426,-0.027583541976898024,-0.40346783593039354,0.008262657719676297,-0.378356031940332,-0.3479694060296984,-0.3500649674395282,-0.14831779954126284,-0.4990652890739545,-0.3822183409394512,-0.5670867934578978,-0.1847274045346291,-0.5563348723617769,-0.37135530133662864,-0.3847789165014581,-0.4474118688228822,-0.5325097375884431,-0.4623567629633959,-0.6182952545900063,-0.8426418567792624,-0.27226238402001673,-0.21537102726492732,-0.18820903754428808,-0.21615163691399,-0.3720864829601714,-0.2759061783509893,-0.305403647168172,-0.3361288347011947,-0.3287240086124643,-0.24116297806260542,-0.18673849555587962,-0.32686269188450634,-0.3880714547072887,-0.3257381829766526,-0.314040983017773,-0.27409675731982613,5,Ambiental,1100.0,1,Malo,Malo
-0.3801502597753932,-0.41457941684736094,-0.41408876922661103,-0.0634593813519414,0.033507482890129364,-0.21091361259181227,-0.047050143541574996,-0.16440949351786172,-0.325422395579288,-0.3726539583902833,-0.34693842646110834,0.047557007125412866,-0.08744964812356074,-0.15358886702106597,0.1979790540246989,-0.042154644339806244,-0.4050214507421013,-0.3515830534368196,-0.270468583956261,-0.5340274222482058,-0.3687520860657312,-0.5378714144927519,-0.507857206002621,-0.7127816035777024,-0.18765911548158865,-0.18951500655545822,-0.08957649498425149,-0.186690985886179,-0.13421464312572615,-0.15442293979186705,-0.1662097301164972,-0.2916847036411879,-0.2847002966378982,-0.4739870877891672,0.06385547033303546,0.062965054120877,-0.03696481033071523,-0.014230508892719087,0.011287662515398082,-0.10409445005355841,6,Ambiental,1580.0,2,Bueno,Bueno
0.31302239445856983,-0.036442890944096154,0.5238991033538989,0.21004592748399947,0.9938320042256751,0.6020502723239514,0.34334364408934775,1.051952108457995,0.3104578520202285,0.5260508728568635,0.2837756095336616,0.13249661552823433,0.022793583494524594,0.17242246877936857,0.09446392093743827,0.2839112600079815,-0.5327791358595824,-0.499754239894271,-0.1342282817704292,-0.6123543582035273,-0.5307035845102812,-0.49462987141721915,-0.557622969800434,-0.3349904183069769,-0.06284790675151561,0.07762926380036261,0.1832131243177067,-0.20017968275668602,-0.3857360270531754,-0.05338756302854472,-0.19007959654416484,-0.2646954207951294,0.16015147418115722,0.1394580188099672,0.24180060336674583,0.15951986361422898,0.04951414964765721,0.12240163577165207,0.2362232528085479,-0.2604570632437006,7,Ambiental,1800.0,4,Bueno,Bueno
0.3281083492917036,-0.6481267979686924,0.3538053130188262,0.5902521434940036,0.3659823778244789,0.7385774503065866,0.22140797820973074,0.27564644133180094,0.36827713374937665,-0.8635214820252441,0.17929758911475824,0.056381842993940334,0.17487750611223313,0.5328883603177186,0.05688116603270968,0.8640455595185843,0.050226709806645675,-0.7983882928161473,-0.16934681160342477,0.11390379426917321,-0.12681983682134382,-0.1235623805798157,0.24196114603979627,0.0014659733487947454,-0.12265504537174124,-0.7187188903851303,0.0479709478744135,-0.08439201741570983,0.023387098616348585,-0.15572893021148834,0.05514426792223922,-0.15650518978176187,-0.15611868806579665,-0.6045605863067547,-0.17320117036026755,-0.19007747265219166,-0.1437205784310957,-0.30427528259204684,-0.2429302278417106,-0.18002690773412275,8,Ambiental,1050.0,2,Malo,Bueno
0.04772012624680051,-0.4255617046596384,-0.7315248888926321,-0.3115241547497858,-0.8167067464937889,0.5920370264884527,-0.803896853325855,0.435863821435868,-0.31292466275952274,-0.5204677622591247,-0.621185952426752,-0.18526840757377006,-0.6793107295844665,-0.07376733839262983,-0.6568355668842905,0.03159503845460579,-0.28315952202868544,-0.28634159173906953,-0.19310228328931275,-0.20523580916899203,-0.06287909792554244,-0.45129971860873624,0.0008288401366573633,-0.43234759575434056,-0.23398508618355404,-0.13946547370972162,-0.15346687734441328,-0.21046793945235584,0.06156577044938985,-0.3169543471381263,-0.06500736523515462,-0.3157589763201989,-0.19347413741178093,-0.044173505709113804,-0.15105531783224468,-0.16018097777942966,0.26530705427008927,-0.2820632851481659,0.1329579076376019,-0.26583456027358765,10,Ambiental,1200.0,0,Bueno,Malo
-0.7319926782921025,-0.8541710575146044,-0.7060606844883064,0.30869827483385504,-0.7557846536117574,0.1770675257446826,-0.4576016071217623,-0.27492181989529685,-0.5014882010791538,-0.7131821287275986,-0.5436681790164923,0.47447587452624174,-0.5807027921681569,0.7011325379627982,-0.28375766288854054,0.18508356615356217,-0.6335736402571317,-0.620140221328159,-0.5918942127771907,-0.15888927169252387,-0.629489004750628,-0.6012695592644506,-0.5873334309804012,-0.5869438562776885,-0.4640775609628207,-0.5260083279538788,-0.4226483248325042,-0.17242552907797226,-0.41191461626576853,-0.2555386946053828,-0.2591836277436075,-0.28681145162249655,-0.3359287112702206,-0.46691097061255815,-0.37950121156563477,-0.28383556498723206,-0.37913724293510387,-0.046422624549008536,-0.27561923944906797,-0.09228566406703566,12,Blanco,1000.0,1,Malo,Malo
