thisN,thisTrialN,thisRepN,key_instruct.keys,key_instruct.rt,key_instruct.duration,make_or_miss.keys,make_or_miss.rt,make_or_miss.duration,button_yes_make.numClicks,button_yes_make.timesOn,button_yes_make.timesOff,button_no_miss.numClicks,button_no_miss.timesOn,button_no_miss.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,key_instruct.started,intro.stopped,trials.key_instruct.keys,trials.key_instruct.rt,trials.key_instruct.duration,trial.started,beep.started,beep.stopped,trial.stopped,result.started,make_or_miss.started,text.started,button_yes_make.started,button_no_miss.started,result.stopped,trials.make_or_miss.keys,trials.make_or_miss.rt,trials.make_or_miss.duration,trials.button_yes_make.numClicks,trials.button_yes_make.timesOn,trials.button_yes_make.timesOff,trials.button_no_miss.numClicks,trials.button_no_miss.timesOn,trials.button_no_miss.timesOff,participant,session,auto_mode,date,expName,expVersion,psychopyVersion,expStart,
0,0,0,space,5.8935301000019535,None,n,3.5897225000080653,None,0,,,0,,,0,0,0,0,0.027394600037951022,,False,0.017428700055461377,0.027394600037951022,6.008213300025091,space,5.8935301000019535,None,6.01705430005677,13.518971866699092,13.787307400023565,13.772199099999852,13.773841500049457,13.787307400023565,13.787307400023565,13.787307400023565,13.787307400023565,17.38979540002765,n,3.5897225000080653,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
1,0,1,space,2.4213626999990083,None,n,1.8983696000068448,None,0,,,0,,,1,0,1,0,17.405719300033525,,,17.40047270001378,17.405719300033525,19.836942800029647,space,2.4213626999990083,None,19.845874100050423,27.369282566713323,27.630927100020926,27.620663600042462,27.620982000022195,27.630927100020926,27.630927100020926,27.630927100020926,27.630927100020926,29.540253400045913,n,1.8983696000068448,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
2,0,2,space,0.5451923000509851,None,y,2.4471252000075765,None,0,,,0,,,2,0,2,0,29.55462270003045,,,29.549493200029247,29.55462270003045,30.105371700017713,space,0.5451923000509851,None,30.115857400000095,37.68589276669469,37.94059940002626,37.9309025000548,37.93123290000949,37.94059940002626,37.94059940002626,37.94059940002626,37.94059940002626,40.404203700018115,y,2.4471252000075765,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
3,0,3,space,0.7920263999840245,None,n,2.2200512000126764,None,0,,,0,,,3,0,3,0,40.419190900051035,,,40.41253460000735,40.419190900051035,41.2215841000434,space,0.7920263999840245,None,41.23336410004413,48.90239646670331,49.160873000044376,49.150869100005366,49.15121930005262,49.160873000044376,49.160873000044376,49.160873000044376,49.160873000044376,51.389428700029384,n,2.2200512000126764,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
4,0,4,space,0.4811700999853201,None,n,3.088830600026995,None,0,,,0,,,4,0,4,0,51.40288990002591,,,51.39878470002441,51.40288990002591,51.888710500032175,space,0.4811700999853201,None,51.8988626000355,59.45192146668366,59.711274300003424,59.70258030004334,59.70276600000216,59.711274300003424,59.711274300003424,59.711274300003424,59.711274300003424,62.8071167000453,n,3.088830600026995,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
5,0,5,space,0.4590843000332825,None,n,2.6214568999712355,None,0,,,0,,,5,0,5,0,62.819898700050544,,,62.815971500007436,62.819898700050544,63.2869671000517,space,0.4590843000332825,None,63.29723330005072,71.00197696668717,71.26148080005078,71.25108910002746,71.2514036000357,71.26148080005078,71.26148080005078,71.26148080005078,71.26148080005078,73.88921140000457,n,2.6214568999712355,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
6,0,6,space,0.4724650999996811,None,n,2.4906486000400037,None,0,,,0,,,6,0,6,0,73.90445330005605,,,73.8999415000435,73.90445330005605,74.38792690000264,space,0.4724650999996811,None,74.39879680000013,81.98530656670142,82.2400062000379,82.23043230001349,82.23073120001936,82.2400062000379,82.2400062000379,82.2400062000379,82.2400062000379,84.73836480005411,n,2.4906486000400037,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
7,0,7,space,0.5052507999935187,None,n,1.9698840000201017,None,0,,,0,,,7,0,7,0,84.75290880003013,,,84.74797720002243,84.75290880003013,85.27122380002402,space,0.5052507999935187,None,85.28123250004137,92.78540346667093,93.04669760004617,93.03827730001649,93.03853310004342,93.04669760004617,93.04669760004617,93.04669760004617,93.04669760004617,95.02186560002156,n,1.9698840000201017,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
8,0,8,space,0.6694032999803312,None,n,2.417521699971985,None,0,,,0,,,8,0,8,0,95.03525720001198,,,95.03101530001732,95.03525720001198,95.72090170002775,space,0.6694032999803312,None,95.73039820004487,103.85166116670395,104.10973820002982,104.09951100003673,104.09986420004861,104.10973820002982,104.10973820002982,104.10973820002982,104.10973820002982,106.53896130004432,n,2.417521699971985,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
9,0,9,space,0.4876552000059746,None,n,2.1548745000036433,None,0,,,0,,,9,0,9,0,106.55286420002813,,,106.54832560004434,106.55286420002813,107.0542813000502,space,0.4876552000059746,None,107.0647874000133,114.6682033666914,114.92725890001748,114.9185253000469,114.91877080005361,114.92725890001748,114.92725890001748,114.92725890001748,114.92725890001748,117.08876830001827,n,2.1548745000036433,None,0,,,0,,,001,001,0,2026-08-10_13h09.22.830,Basketball,,2026.1.3,2026-08-10 13h09.24.214426 -0400,
