thisN,thisTrialN,thisRepN,key_instruct.keys,key_instruct.rt,key_instruct.duration,make_or_miss.keys,make_or_miss.rt,make_or_miss.duration,button_yes_make.numClicks,button_yes_make.timesOn,button_yes_make.timesOff,button_no_miss.numClicks,button_no_miss.timesOn,button_no_miss.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,key_instruct.started,intro.stopped,trials.key_instruct.keys,trials.key_instruct.rt,trials.key_instruct.duration,trial.started,beep.started,beep.stopped,trial.stopped,result.started,make_or_miss.started,text.started,button_yes_make.started,button_no_miss.started,result.stopped,trials.make_or_miss.keys,trials.make_or_miss.rt,trials.make_or_miss.duration,trials.button_yes_make.numClicks,trials.button_yes_make.timesOn,trials.button_yes_make.timesOff,trials.button_no_miss.numClicks,trials.button_no_miss.timesOn,trials.button_no_miss.timesOff,participant,session,auto_mode,date,expName,expVersion,psychopyVersion,expStart,
10,0,10,space,0.5176988000166602,None,y,2.02739040000597,None,0,,,0,,,10,0,10,0,110.0443584000459,,,110.04019440000411,110.0443584000459,110.57938720000675,space,0.5176988000166602,None,110.58842200000072,118.19418896671074,118.44915170001332,118.4415421000449,118.44190100004198,118.44915170001332,118.44915170001332,118.44915170001332,118.44915170001332,120.4812540000421,y,2.02739040000597,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
11,0,11,space,0.5354200000292622,None,y,2.0062423999770544,None,0,,,0,,,11,0,11,0,120.49375260004308,,,120.48890110000502,120.49375260004308,121.046616800013,space,0.5354200000292622,None,121.05767380003817,128.56066056667285,128.81747180002276,128.8089019000181,128.80910440004664,128.81747180002276,128.81747180002276,128.81747180002276,128.81747180002276,130.8301102000405,y,2.0062423999770544,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
12,0,12,space,0.5252458000322804,None,y,2.4098103000433184,None,0,,,0,,,12,0,12,0,130.8435790000367,,,130.8389672000194,130.8435790000367,131.38011930003995,space,0.5252458000322804,None,131.39053090004018,138.893670966678,139.14781650004443,139.13891390000936,139.1391968000098,139.14781650004443,139.14781650004443,139.14781650004443,139.14781650004443,141.56335260003107,y,2.4098103000433184,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
13,0,13,space,0.5091709999833256,None,y,2.535279800009448,None,0,,,0,,,13,0,13,0,141.57638810004573,,,141.5718959000078,141.57638810004573,142.09647280001082,space,0.5091709999833256,None,142.10830030002398,149.6437783666809,149.89997860003496,149.8907430000254,149.89100600004895,149.89997860003496,149.89997860003496,149.89997860003496,149.89997860003496,152.44705570000224,y,2.535279800009448,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
14,0,14,space,0.6118835000088438,None,n,2.1865527000045404,None,0,,,0,,,14,0,14,0,152.46047820005333,,,152.45657030004077,152.46047820005333,153.0787457000115,space,0.6118835000088438,None,153.08742019999772,160.72717286670039,160.9915862000198,160.98162150004646,160.98200020001968,160.9915862000198,160.9915862000198,160.9915862000198,160.9915862000198,163.18226710002637,n,2.1865527000045404,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
15,0,15,space,1.0995645999792032,None,n,2.1764178999583237,None,0,,,0,,,15,0,15,0,163.19521220005117,,,163.19070110004395,163.19521220005117,164.3124237000011,space,1.0995645999792032,None,164.32270630000858,172.41013326670898,172.67029980005464,172.6602541000466,172.66061280004214,172.67029980005464,172.67029980005464,172.67029980005464,172.67029980005464,174.86239060002845,n,2.1764178999583237,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
16,0,16,space,0.46387829998275265,None,y,2.618413500022143,None,0,,,0,,,16,0,16,0,174.8764291999978,,,174.87173660000553,174.8764291999978,175.3458410000312,space,0.46387829998275265,None,175.3548895000131,183.4102858667068,183.66935820004437,183.65926770004444,183.65962370001944,183.66935820004437,183.66935820004437,183.66935820004437,183.66935820004437,186.30073499999708,y,2.618413500022143,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
17,0,17,space,0.7453211999963969,None,y,1.8330001000431366,None,0,,,0,,,17,0,17,0,186.31399740005145,,,186.30988520005485,186.31399740005145,187.06344700005138,space,0.7453211999963969,None,187.07283520000055,194.57623876666574,194.83055400004378,194.82019180001225,194.8205177000491,194.83055400004378,194.83055400004378,194.83055400004378,194.83055400004378,196.67975360003766,y,1.8330001000431366,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
18,0,18,space,0.47325939999427646,None,y,1.828173899964895,None,0,,,0,,,18,0,18,0,196.6932197000133,,,196.68923560000258,196.6932197000133,197.17781130003277,space,0.47325939999427646,None,197.18748390005203,204.90954396670375,205.1728344000294,205.16318600001978,205.16352400003234,205.1728344000294,205.1728344000294,205.1728344000294,205.1728344000294,207.01232630002778,y,1.828173899964895,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
19,0,19,space,0.45302539999829605,None,y,2.199209099984728,None,0,,,0,,,19,0,19,0,207.02632560004713,,,207.0206751000369,207.02632560004713,207.49549550004303,space,0.45302539999829605,None,207.50513190001948,215.02639286668662,215.27936120005324,215.26982380001573,215.2700847000233,215.27936120005324,215.27936120005324,215.27936120005324,215.27936120005324,217.4946444000234,y,2.199209099984728,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
